City,State,MGrid,Zip,Lat/Long
"""RADIUM SPRINGS",NM,DM62mm,88054,"32.5  -106.92"""
"""RADIUM SPRGS",NM,DM62mm,88054,"32.5  -106.92"""
"""RADIUM SPGS",NM,DM62mm,88054,"32.5  -106.92"""
"""RAINSVILLE",NM,DM75jx,87736,"35.97  -105.2"""
"""RAMAH",NM,DM55sd,87321,"35.13  -108.49"""
"""EL MORRO NATIONAL MONUMENT",NM,DM55sd,87321,"35.13  -108.49"""
"""TINAJA",NM,DM55sd,87321,"35.13  -108.49"""
"""PINEHILL",NM,DM54st,87357,"34.81  -108.45"""
"""RAMAH",NM,DM54st,87357,"34.81  -108.45"""
"""RANCHOS DE TAOS",NM,DM76ei,87557,"36.36  -105.6"""
"""RNCH DE TAOS",NM,DM76ei,87557,"36.36  -105.6"""
"""LLANO QUEMADO",NM,DM76ei,87557,"36.36  -105.6"""
"""RANCH TAOS",NM,DM76ei,87557,"36.36  -105.6"""
"""RANCHES OF TAOS",NM,DM76ei,87557,"36.36  -105.6"""
"""RANCHO TAOS",NM,DM76ei,87557,"36.36  -105.6"""
"""RANCHOS TAOS",NM,DM76ei,87557,"36.36  -105.6"""
"""TALPA",NM,DM76ei,87557,"36.36  -105.6"""
"""RATON",NM,DM76sv,87740,"36.88  -104.44"""
"""COLFAX",NM,DM76sv,87740,"36.88  -104.44"""
"""RED RIVER",NM,DM76hq,87558,"36.7  -105.4"""
"""QUERINDA PARK",NM,DM76hq,87558,"36.7  -105.4"""
"""REHOBOTH",NM,DM55ql,87322,"35.49  -108.65"""
"""RESERVE",NM,DM53oq,87830,"33.7  -108.76"""
"""APACHE CREEK",NM,DM53oq,87830,"33.7  -108.76"""
"""CRUZVILLE",NM,DM53oq,87830,"33.7  -108.76"""
"""LOWER SAN FRANCISCO PLAZA",NM,DM53oq,87830,"33.7  -108.76"""
"""SAN FRANCISCO PLAZA",NM,DM53oq,87830,"33.7  -108.76"""
"""RIBERA",NM,DM75gi,87560,"35.37  -105.44"""
"""GONZALES RANCH",NM,DM75gi,87560,"35.37  -105.44"""
"""GONZALES RNCH",NM,DM75gi,87560,"35.37  -105.44"""
"""SENA",NM,DM75gi,87560,"35.37  -105.44"""
"""CORUCO",NM,DM75gi,87560,"35.37  -105.44"""
"""EL ANCON",NM,DM75gi,87560,"35.37  -105.44"""
"""EL PUEBLO",NM,DM75gi,87560,"35.37  -105.44"""
"""LAGUNITA",NM,DM75gi,87560,"35.37  -105.44"""
"""LEYBA",NM,DM75gi,87560,"35.37  -105.44"""
"""RINCON",NM,DM62lq,87940,"32.67  -107.06"""
"""ROCIADA",NM,DM75gt,87742,"35.83  -105.42"""
"""PENDARIES",NM,DM75gt,87742,"35.83  -105.42"""
"""RODEO",NM,DM51lt,88056,"31.83  -109.03"""
"""ROGERS",NM,DM83jx,88132,"33.98  -103.23"""
"""GARRISON",NM,DM83jx,88132,"33.98  -103.23"""
"""ROSWELL",NM,DM73ri,88201,"33.37  -104.52"""
"""BORDER HILL",NM,DM73ri,88201,"33.37  -104.52"""
"""PINE LODGE",NM,DM73ri,88201,"33.37  -104.52"""
"""ELKINS",NM,DM73ri,88201,"33.37  -104.52"""
"""ROSWELL INDUSTRIAL AIR CENTE",NM,DM73ri,88201,"33.37  -104.52"""
"""ROSWELL",NM,DM73ri,88202,"33.37  -104.52"""
"""ROSWELL",NM,DM73rh,88203,"33.33  -104.52"""
"""ILFELD",NM,DM75hl,87538,"35.48  -105.4"""
"""NORTH SAN YSIDRO",NM,DM75hl,87538,"35.48  -105.4"""
"""ROWE",NM,DM75hl,87538,"35.48  -105.4"""
"""ROWE",NM,DM75dl,87562,"35.49  -105.67"""
"""RENCONA",NM,DM75dl,87562,"35.49  -105.67"""
"""ROY",NM,DM75vw,87743,"35.94  -104.19"""
"""RUIDOSO",NM,DM73ei,88345,"33.36  -105.64"""
"""ALTO CREST",NM,DM73ei,88345,"33.36  -105.64"""
"""HOLLYWOOD",NM,DM73ei,88345,"33.36  -105.64"""
"""SIERRA BLANCA",NM,DM73ei,88345,"33.36  -105.64"""
"""RUIDOSO",NM,DM73ei,88355,"33.36  -105.64"""
"""RUIDOSO DOWNS",NM,DM73eh,88346,"33.33  -105.6"""
"""SACRAMENTO",NM,DM72fs,88347,"32.79  -105.56"""
"""ARTESIA CAMP",NM,DM72fs,88347,"32.79  -105.56"""
"""SALEM",NM,DM62jq,87941,"32.7  -107.21"""
"""SAN ACACIA",NM,DM64ng,87831,"34.25  -106.89"""
"""ALAMILLO",NM,DM64ng,87831,"34.25  -106.89"""
"""SAN ANTONIO",NM,DM63nv,87832,"33.91  -106.86"""
"""BINGHAM",NM,DM63nv,87832,"33.91  -106.86"""
"""SAN CRISTOBAL",NM,DM76eo,87564,"36.59  -105.63"""
"""SANDIA PARK",NM,DM65td,87047,"35.16  -106.36"""
"""GOLDEN",NM,DM65td,87047,"35.16  -106.36"""
"""SAN ANTONITO",NM,DM65td,87047,"35.16  -106.36"""
"""PUEBLO OF ACOMA",NM,DM64fv,87034,"34.9  -107.58"""
"""ACOMA",NM,DM64fv,87034,"34.9  -107.58"""
"""PBLO OF ACOMA",NM,DM64fv,87034,"34.9  -107.58"""
"""ACOMITA",NM,DM64fv,87034,"34.9  -107.58"""
"""SAN FIDEL",NM,DM65eb,87049,"35.08  -107.59"""
"""MCCARTYS",NM,DM65eb,87049,"35.08  -107.59"""
"""BARD",NM,DM85ic,88411,"35.12  -103.3"""
"""SAN JON",NM,DM85ic,88411,"35.12  -103.3"""
